Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2014-08-30 13:19:00,Running,,6.59,57:00,8:39,6.93,281.0,1,,,2014-08-30-1319.gpx
2014-08-29 19:28:00,Running,,8.23,1:04:00,7:47,7.72,403.0,26,,,2014-08-29-1928.gpx
2014-08-27 18:10:00,Strength Training,,0.00,30:00,,,128.0,0,,,
2014-08-27 18:00:00,Spinning,,0.00,10:00,,,72.0,0,,,
2014-08-26 19:20:00,Running,,6.75,52:00,7:42,7.79,333.0,13,,,2014-08-26-1920.gpx
2014-08-25 18:21:00,Running,,3.50,20:33,5:53,10.20,188.0,17,,,2014-08-25-1821.gpx
2014-08-23 11:00:00,Running,,4.86,40:00,8:14,7.29,217.0,0,,,2014-08-23-1100.gpx
2014-08-19 18:16:00,Running,,5.40,46:40,8:39,6.94,332.0,0,153,,
2014-08-16 20:38:00,Running,,6.40,1:10:00,10:56,5.49,232.0,0,,,
2014-08-16 08:00:20,Running,,2.05,22:41,11:04,5.42,116.0,63,,,2014-08-16-0800.gpx
2014-08-16 07:07:46,Running,,5.68,44:51,7:53,7.60,306.0,100,,,2014-08-16-0707.gpx
2014-08-10 11:35:00,Running,,9.33,1:18:00,8:22,7.18,419.0,35,,"Too hot :(",2014-08-10-1135.gpx
2014-08-06 20:09:22,Strength Training,,0.00,30:00,,,128.0,0,,,
2014-08-06 18:00:00,Running,,2.00,15:00,7:30,8.00,108.0,0,,,
2014-08-04 19:35:48,Running,,1.69,11:29,6:48,8.81,90.0,20,,,2014-08-04-1935.gpx
2014-08-04 18:30:00,Running,,9.25,1:10:00,7:34,7.93,464.0,13,,,2014-08-04-1830.gpx
2014-08-03 15:30:00,Running,,1.88,30:00,16:00,3.75,72.0,1,,,2014-08-03-1530.gpx
2014-08-02 11:58:32,Running,,3.02,24:48,8:12,7.31,156.0,35,,,2014-08-02-1158.gpx
2014-08-02 10:45:02,Running,,5.33,41:51,7:51,7.64,288.0,69,,,2014-08-02-1045.gpx
2014-07-09 13:05:00,Running,,6.30,52:00,8:15,7.27,287.0,23,,,2014-07-09-1305.gpx
2014-07-05 08:30:00,Running,,11.51,1:30:00,7:49,7.68,555.0,10,,,2014-07-05-0830.gpx
2014-06-30 23:07:24,Running,,2.36,19:26,8:14,7.28,102.0,30,,,2014-06-30-2307.gpx
2014-06-30 21:46:27,Running,,8.99,1:14:02,8:14,7.28,509.0,328,,,2014-06-30-2146.gpx
2014-06-28 13:15:00,Running,,4.22,22:00,5:13,11.50,219.0,0,,,2014-06-28-1315.gpx
2014-06-23 14:37:47,Running,,12.68,1:31:32,7:13,8.31,709.0,157,,,2014-06-23-1437.gpx
2014-06-19 20:22:00,Running,,12.08,1:17:00,6:22,9.41,646.0,14,,,2014-06-19-2022.gpx
2014-06-16 18:55:00,Running,,4.47,57:49,12:56,4.64,281.0,81,,,2014-06-16-1855.gpx
2014-06-16 18:29:40,Running,,1.99,18:31,9:19,6.44,112.0,42,,,2014-06-16-1829.gpx
2014-06-15 08:02:49,Running,,5.21,32:31,6:15,9.60,286.0,66,,,2014-06-15-0802.gpx
2014-06-12 15:51:34,Running,,3.96,40:06,10:07,5.93,212.0,80,,,2014-06-12-1551.gpx
2014-06-09 18:16:56,Running,,8.03,1:35:35,11:55,5.04,456.0,191,,":)",2014-06-09-1816.gpx
2014-05-26 19:15:00,Running,,0.22,1:42,7:40,7.82,13.0,8,,,2014-05-26-1915.gpx
2014-05-26 18:58:10,Running,,1.32,14:48,11:16,5.33,77.0,29,,,2014-05-26-1858.gpx
2014-05-21 18:13:00,Strength Training,,0.00,40:00,,,170.0,0,,,
2014-05-19 18:39:31,Running,,6.56,50:13,7:39,7.84,376.0,172,,,2014-05-19-1839.gpx
2014-05-18 09:02:14,Walking,,4.76,44:46,9:24,6.38,231.0,65,,,2014-05-18-0902.gpx
2014-05-18 07:00:00,Running,,5.00,30:02,6:00,9.99,263.0,0,,,
2014-05-12 19:00:00,Running,,6.00,50:00,8:20,7.20,265.0,0,,,
2014-05-05 18:30:00,Running,,2.10,12:00,5:43,10.50,110.0,0,,,
2014-05-03 12:01:00,Running,,6.13,38:31,6:17,9.55,255.0,66,,,2014-05-03-1201.gpx
2014-04-29 21:08:17,Running,,1.67,14:39,8:47,6.84,87.0,47,,,2014-04-29-2108.gpx
2014-04-25 21:17:32,Running,,2.67,25:48,9:41,6.20,128.0,40,,,2014-04-25-2117.gpx
2014-04-23 21:45:00,Strength Training,,0.00,30:00,,,128.0,0,,,
2014-04-23 21:00:00,Running,,5.00,35:00,7:00,8.57,272.0,0,,,
2014-04-20 19:10:03,Running,,5.54,42:27,7:40,7.83,285.0,97,,,2014-04-20-1910.gpx
2014-04-15 18:30:00,Strength Training,,0.00,30:00,,,130.0,0,,,
2014-04-13 08:00:00,Running,,5.00,36:00,7:12,8.33,275.0,0,,"Cross run - Taubaté. Sem sinal de  GPS :(",
2014-04-07 21:00:36,Running,,5.85,46:02,7:52,7.63,320.0,96,,,2014-04-07-2100.gpx
2014-04-03 23:03:40,Running,,3.65,22:51,6:16,9.57,197.0,90,,,2014-04-03-2303.gpx
2014-04-03 22:28:04,Running,,2.96,24:32,8:18,7.23,156.0,77,,,2014-04-03-2228.gpx
2014-04-03 22:00:00,Strength Training,,0.00,25:00,,,108.0,0,,,
2014-04-02 22:00:00,Strength Training,,0.00,30:00,,,130.0,0,,,
2014-03-26 22:09:16,Running,,1.31,11:25,8:42,6.90,71.0,36,,,2014-03-26-2209.gpx
2014-03-26 21:42:11,Running,,2.88,23:41,8:13,7.30,153.0,79,,"Gut, sehr gut",2014-03-26-2142.gpx
2014-03-03 20:17:17,Running,,3.47,32:09,9:16,6.48,171.0,42,,"Log for mission 'S1-M1/Jolly Alpha Five Niner' of Zombies, Run!",2014-03-03-2017.gpx
2014-02-26 22:49:41,Running,,1.23,7:43,6:17,9.56,72.0,35,,,2014-02-26-2249.gpx
2014-02-11 00:16:22,Running,,6.46,50:31,7:50,7.67,352.0,162,,"Best pace evet",2014-02-11-0016.gpx
2014-02-06 22:33:29,Running,,6.74,55:07,8:10,7.34,366.0,210,,,2014-02-06-2233.gpx
2014-01-31 22:20:45,Running,,4.58,40:30,8:51,6.78,244.0,162,,,2014-01-31-2220.gpx
2014-01-22 20:22:59,Running,,6.45,51:31,7:59,7.52,356.0,212,,,2014-01-22-2022.gpx
2014-01-18 20:49:24,Skating,,2.15,10:13,4:46,12.60,43.0,29,,,2014-01-18-2049.gpx
2014-01-15 18:25:33,Running,,4.97,48:07,9:41,6.20,251.0,159,,,2014-01-15-1825.gpx
2014-01-11 10:21:09,Running,,4.86,56:48,11:41,5.13,183.0,77,,,2014-01-11-1021.gpx
2014-01-09 22:39:42,Running,,3.26,29:01,8:55,6.73,164.0,105,,,2014-01-09-2239.gpx
2014-01-06 20:42:16,Running,,2.43,27:42,11:26,5.25,99.0,19,,,2014-01-06-2042.gpx
2013-12-22 22:12:15,Running,,5.16,44:50,8:41,6.90,267.0,98,,,2013-12-22-2212.gpx
2013-12-22 22:12:15,Running,,5.16,44:50,8:41,6.90,267.0,98,,,2013-12-22-2212.gpx
2013-12-12 20:56:32,Running,,6.11,43:53,7:11,8.35,340.0,187,,,2013-12-12-2056.gpx
2013-12-11 23:16:58,Running,,3.03,26:17,8:40,6.93,154.0,62,,"Ok",2013-12-11-2316.gpx
2013-12-07 19:28:59,Running,,5.18,47:53,9:15,6.48,267.0,143,,,2013-12-07-1928.gpx
2013-12-05 21:19:04,Running,,3.11,27:23,8:49,6.80,159.0,108,,"Easy",2013-12-05-2119.gpx
2013-12-05 20:51:55,Running,,2.50,21:00,8:24,7.15,134.0,77,,"Fine thnks",2013-12-05-2051.gpx
2013-12-03 17:38:22,Running,,2.06,22:31,10:55,5.50,101.0,46,,,2013-12-03-1738.gpx
2013-12-01 10:53:27,Running,,4.87,38:09,7:50,7.66,259.0,96,,,2013-12-01-1053.gpx
2013-11-27 22:52:02,Running,,4.68,31:28,6:44,8.92,331.0,110,,,2013-11-27-2252.gpx
